id,Tipo-costa,Altitud,Tipo-alttud,tipo-altitud-2,grupo_pob,NOMBRE COMPLETO,MUNICIPIO,PROVINCIA,CÓDIGO,ENTRADAS_2024,ENTRADAS_2019,pob_2024,tipo-pob,pob_2019,ENTRADASXHAB,ENTRADASXHAB_19,ENTRADASXTRAB,cnae-suma,VAR_ENTRADAS,recepcion_español_2024,recepcion_internacional_2024,ENTRADAS_ext
814,yes,481,Menos de 1000 metros,201-600,101-500,07019 Escorca,Escorca,Illes Balears,07019,30772,19038,203,<500,212,"151,59","89,80","225,44","136,50","0,62",1477,29295,"4,80"
4832,no,944,Menos de 1000 metros,601-1.000,1-100,31211 Orreaga/Roncesvalles,Orreaga/Roncesvalles,Navarra,31211,3117,3865,21,<500,22,"148,43","175,68","49,48","63,00","-0,19",1061,2056,"34,04"
3104,no,892,Menos de 1000 metros,601-1.000,1-100,19288 Tortuero,Tortuero,Guadalajara,19288,2631,431,21,<500,18,"125,29","23,94","2631,00","1,00","5,10",2631,0,"100,00"
4101,no,583,Menos de 1000 metros,201-600,1-100,26048 Cidamón,Cidamón,La Rioja,26048,1883,0,17,<500,25,"110,76",,,"0,00",No se puede calcular,1883,0,"100,00"
1295,no,907,Menos de 1000 metros,601-1.000,1-100,09155 Haza,Haza,Burgos,09155,3529,0,34,<500,30,"103,79",,,"0,00",No se puede calcular,3261,268,"92,41"
2938,no,1359,Entre 1000 y 1499 metros,1.001-1.500,1-100,19104 Chequilla,Chequilla,Guadalajara,19104,1234,304,14,<500,18,"88,14","16,89",,"0,00","3,06",1234,0,"100,00"
5429,no,678,Menos de 1000 metros,601-1.000,101-500,37086 Carpio de Azaba,Carpio de Azaba,Salamanca,37086,9201,3927,112,<500,112,"82,15","35,06","9201,00","1,00","1,34",2392,6809,"26,00"
3105,no,1379,Entre 1000 y 1499 metros,1.001-1.500,1-100,19289 Traíd,Traíd,Guadalajara,19289,1427,755,19,<500,23,"75,11","32,83",,"0,00","0,89",1427,0,"100,00"
2541,no,112,Menos de 1000 metros,0-200,1001-5000,"17086 Jonquera, La","Jonquera, La",Girona,17086,252582,155278,3408,2.000 – 9.999,3290,"74,11","47,20","387,40","652,00","0,63",35377,217205,"14,01"
2918,no,1210,Entre 1000 y 1499 metros,1.001-1.500,1-100,19076 Castellar de la Muela,Castellar de la Muela,Guadalajara,19076,1396,338,19,<500,22,"73,47","15,36",,"0,00","3,13",1396,0,"100,00"
2933,no,1018,Entre 1000 y 1499 metros,1.001-1.500,1-100,19097 Congostrina,Congostrina,Guadalajara,19097,1204,92,17,<500,17,"70,82","5,41","1204,00","1,00","12,09",1057,147,"87,79"
1273,no,974,Menos de 1000 metros,601-1.000,1-100,09127 Fontioso,Fontioso,Burgos,09127,3754,2833,54,<500,54,"69,52","52,46",,"0,00","0,33",2214,1540,"58,98"
2912,no,1268,Entre 1000 y 1499 metros,1.001-1.500,1-100,"19067 Cardoso de la Sierra, El","Cardoso de la Sierra, El",Guadalajara,19067,3198,3833,50,<500,60,"63,96","63,88","3198,00","1,00","-0,17",2927,271,"91,53"
3486,no,1020,Entre 1000 y 1499 metros,1.001-1.500,101-500,22230 Torla-Ordesa,Torla-Ordesa,Huesca,22230,21042,19418,335,<500,304,"62,81","63,88","80,31","262,00","0,08",16632,4410,"79,04"
4859,no,94,Menos de 1000 metros,0-200,101-500,31239 Urdazubi/Urdax,Urdazubi/Urdax,Navarra,31239,22786,9604,364,<500,349,"62,60","27,52","396,28","57,50","1,37",1097,21689,"4,81"
6698,no,680,Menos de 1000 metros,601-1.000,1-100,44167 Obón,Obón,Teruel,44167,1939,1222,31,<500,44,"62,55","27,77","1292,67","1,50","0,59",1939,0,"100,00"
456,no,948,Menos de 1000 metros,601-1.000,1-100,05086 Gimialcón,Gimialcón,Ávila,05086,4065,2174,66,<500,75,"61,59","28,99",,"0,00","0,87",3924,141,"96,53"
8046,no,803,Menos de 1000 metros,601-1.000,1-100,"50210 Pintanos, Los","Pintanos, Los",Zaragoza,50210,2086,98,37,<500,37,"56,38","2,65","1043,00","2,00","20,29",1815,271,"87,01"
5910,no,1006,Entre 1000 y 1499 metros,1.001-1.500,101-500,40046 Castillejo de Mesleón,Castillejo de Mesleón,Segovia,40046,6195,4143,110,<500,136,"56,32","30,46","281,59","22,00","0,50",4769,1426,"76,98"
7259,no,753,Menos de 1000 metros,601-1.000,1-100,47002 Aguasal,Aguasal,Valladolid,47002,1059,579,19,<500,19,"55,74","30,47",,"0,00","0,83",880,179,"83,10"
2886,no,991,Menos de 1000 metros,601-1.000,1-100,19038 Arbeteta,Arbeteta,Guadalajara,19038,870,339,16,<500,22,"54,38","15,41","870,00","1,00","1,57",870,0,"100,00"
563,no,1114,Entre 1000 y 1499 metros,1.001-1.500,1-100,05199 San Bartolomé de Béjar,San Bartolomé de Béjar,Ávila,05199,2639,124,49,<500,37,"53,86","3,35",,"0,00","20,28",2639,0,"100,00"
