Código,Provincia,Municipio,Ganador,% Ganador,% Escrutado,% Participación,Votos Cs,% Cs,Votos Extremadura Unida,% Extremadura Unida,Votos JxEx,% JxEx,Votos NEX,% NEX,Votos PACMA,% PACMA,Votos PP,% PP,Votos PSOE,% PSOE,Votos PUM+J,% PUM+J,Votos UED-SyT,% UED-SyT,Votos UxEx,% UxEx,Votos VOX,% VOX
10001,332,Abadía,PSOE,45.14%,0.00%,0.00%,0,0.00%,2,0.97%,0,0.00%,0,0.00%,0,0.00%,76,36.89%,93,45.14%,0,0.00%,0,0.00%,11,5.33%,20,9.70%
10002,371,Abertura,PP,38.07%,0.00%,0.00%,0,0.00%,1,0.41%,1,0.41%,0,0.00%,0,0.00%,91,38.07%,78,32.63%,0,0.00%,0,0.00%,19,7.94%,48,20.08%
10003,581,Acebo,PP,47.76%,0.00%,0.00%,0,0.00%,2,0.59%,0,0.00%,0,0.00%,0,0.00%,160,47.76%,89,26.56%,0,0.00%,1,0.29%,49,14.62%,32,9.55%
10004,804,Acehúche,PSOE,37.00%,0.00%,0.00%,0,0.00%,3,0.70%,3,0.70%,1,0.23%,0,0.00%,157,36.76%,158,37.00%,0,0.00%,0,0.00%,19,4.44%,80,18.73%
10005,584,Aceituna,PP,40.20%,0.00%,0.00%,0,0.00%,0,0.00%,3,1.01%,0,0.00%,1,0.33%,119,40.20%,91,30.74%,0,0.00%,1,0.33%,22,7.43%,55,18.58%
10006,1346,Ahigal,PSOE,41.35%,0.00%,0.00%,0,0.00%,0,0.00%,2,0.27%,2,0.27%,2,0.27%,270,36.48%,306,41.35%,0,0.00%,0,0.00%,28,3.78%,120,16.21%
10007,656,Albalá,PP,59.52%,0.00%,0.00%,0,0.00%,1,0.29%,2,0.59%,0,0.00%,0,0.00%,200,59.52%,49,14.58%,2,0.59%,0,0.00%,16,4.76%,65,19.34%
10008,1348,Alcántara,PP,52.08%,0.00%,0.00%,0,0.00%,6,0.73%,0,0.00%,6,0.73%,4,0.49%,425,52.08%,203,24.87%,0,0.00%,0,0.00%,56,6.86%,96,11.76%
10009,265,Alcollarín,PP,61.26%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.70%,87,61.26%,29,20.42%,0,0.00%,0,0.00%,6,4.22%,18,12.67%
10010,2476,Alcuéscar,PP,39.90%,0.00%,0.00%,0,0.00%,5,0.48%,0,0.00%,8,0.77%,0,0.00%,413,39.90%,357,34.49%,5,0.48%,0,0.00%,67,6.47%,160,15.45%
10011,592,Aldeacentenera,PSOE,40.18%,0.00%,0.00%,0,0.00%,1,0.30%,1,0.30%,0,0.00%,0,0.00%,106,32.02%,133,40.18%,0,0.00%,3,0.90%,32,9.66%,53,16.01%
10012,601,Aldea del Cano,PSOE,40.54%,0.00%,0.00%,0,0.00%,1,0.24%,32,7.96%,1,0.24%,0,0.00%,130,32.33%,163,40.54%,0,0.00%,0,0.00%,28,6.96%,39,9.70%
10013,289,La Aldea del Obispo,PP,44.44%,0.00%,0.00%,0,0.00%,0,0.00%,1,0.74%,0,0.00%,1,0.74%,60,44.44%,39,28.88%,0,0.00%,0,0.00%,4,2.96%,30,22.22%
10014,1995,Aldeanueva de la Vera,PP,40.07%,0.00%,0.00%,0,0.00%,5,0.47%,3,0.28%,3,0.28%,0,0.00%,418,40.07%,312,29.91%,0,0.00%,0,0.00%,90,8.62%,197,18.88%
10015,700,Aldeanueva del Camino,PSOE,39.60%,0.00%,0.00%,0,0.00%,3,0.85%,14,3.98%,0,0.00%,0,0.00%,119,33.90%,139,39.60%,0,0.00%,2,0.56%,23,6.55%,42,11.96%
10016,352,Aldehuela de Jerte,PP,34.84%,0.00%,0.00%,0,0.00%,4,1.80%,6,2.71%,6,2.71%,0,0.00%,77,34.84%,64,28.95%,0,0.00%,0,0.00%,18,8.14%,38,17.19%
10017,745,Alía,PP,52.13%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,244,52.13%,140,29.91%,0,0.00%,0,0.00%,30,6.41%,52,11.11%
