CUSEC,Nivel,vivienda turistica,plazas,Porcentaje vivienda turistica,PERIODO,PROV_LITERAL,MUN_LITERAL
0100101001,Secciones,1,9,"0,16",2024M11,Araba/Álava,Alegría-Dulantzi
0100101002,Secciones,1,2,"0,15",2024M11,Araba/Álava,Alegría-Dulantzi
0100201006,Secciones,0,0,"0,00",2024M11,Araba/Álava,Amurrio
0100201003,Secciones,4,16,"0,57",2024M11,Araba/Álava,Amurrio
0100201004,Secciones,1,5,"0,12",2024M11,Araba/Álava,Amurrio
0100201001,Secciones,5,31,"0,52",2024M11,Araba/Álava,Amurrio
0100201002,Secciones,2,11,"0,24",2024M11,Araba/Álava,Amurrio
0100201005,Secciones,0,0,"0,00",2024M11,Araba/Álava,Amurrio
0100201007,Secciones,0,0,"0,00",2024M11,Araba/Álava,Amurrio
0100301001,Secciones,4,20,"0,55",2024M11,Araba/Álava,Aramaio
0100401001,Secciones,2,24,"0,18",2024M11,Araba/Álava,Artziniega
0100601001,Secciones,1,8,"0,62",2024M11,Araba/Álava,Armiñón
0100801001,Secciones,2,6,"0,37",2024M11,Araba/Álava,Arratzua-Ubarrundia
0100901001,Secciones,8,47,"0,71",2024M11,Araba/Álava,Asparrena
0101001001,Secciones,9,48,"0,93",2024M11,Araba/Álava,Ayala/Aiara
0101001002,Secciones,1,14,"0,17",2024M11,Araba/Álava,Ayala/Aiara
0101101001,Secciones,1,4,"0,40",2024M11,Araba/Álava,Baños de Ebro/Mañueta
0101301001,Secciones,2,6,"0,36",2024M11,Araba/Álava,Barrundia
0101401001,Secciones,0,0,"0,00",2024M11,Araba/Álava,Berantevilla
0101601001,Secciones,2,21,"0,32",2024M11,Araba/Álava,Bernedo
0101701001,Secciones,10,45,"1,04",2024M11,Araba/Álava,Campezo/Kanpezu
0101801001,Secciones,10,47,"1,02",2024M11,Araba/Álava,Zigoitia
0101901001,Secciones,1,14,"0,71",2024M11,Araba/Álava,Kripan
0102001001,Secciones,2,12,"0,61",2024M11,Araba/Álava,Kuartango
0102101001,Secciones,5,16,"1,71",2024M11,Araba/Álava,Elburgo/Burgelu
0102201001,Secciones,9,59,"1,10",2024M11,Araba/Álava,Elciego
0102301001,Secciones,0,0,"0,00",2024M11,Araba/Álava,Elvillar/Bilar
0102701001,Secciones,1,2,"0,34",2024M11,Araba/Álava,Iruraiz-Gauna
0102801001,Secciones,12,86,"0,62",2024M11,Araba/Álava,Labastida/Bastida
