Main ID,Incident ID,Incident Type,Region of Incident,Incident Date,Incident Year,año,Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Country of Origin,Region of Origin,Cause of Death,Country of Incident,Migration Route,Location of Incident,localización,R2,T2,,Coordinates,lat,lon,UNSD Geographical Grouping,Information Source,URL,Source Quality
2025.MMP0253,2025.MMP0253,Incident,Mediterranean,2025-05-08,2025,2025,May,1,0,1,16,,,,Unknown,Sub-Saharan Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",Spain,Western Mediterranean,"42 miles off Xàbia, Alicante, Spain - departure from Algeria","A 42 millas de Xàbia, Alicante, España - salida desde Argelia",Sí,Sí,En España,"38.6909345, 0.927204475",38.6909345, 0.927204475,Uncategorized,"Theleader.info, Europa Press",https://perma.cc/88MZ-GEU5,3
2025.MMP0257,2025.MMP0257,Incident,Mediterranean,2025-05-04,2025,2025,May,,2,2,,,,,Unknown,Sub-Saharan Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Spain,Western Mediterranean,"Unspecified location off Ibiza, Spain","Ubicación no especificada cerca de Ibiza, España",Sí,Sí,En España,"38.69945772, 1.969762185",38.69945772, 1.969762185,Uncategorized,"EFE, Cadena Ser, Periodico de Ibiza",https://perma.cc/5VEU-UTEN,3
2025.MMP0252,2025.MMP0252,Incident,Mediterranean,2025-04-30,2025,2025,April,1,0,1,,,1,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"Remains washed ashore at Cala Tortuga, Menora, Spain","Restos arrastrados a la costa en Cala Tortuga, Menora, España",Sí,Sí,En España,"39.98870042, 4.255131467",39.98870042, 4.255131467,Uncategorized,Europa Press,https://perma.cc/3UBG-252H,1
2025.MMP0161,2025.MMP0161,Incident,Mediterranean,2025-03-30,2025,2025,March,1,0,1,35,,,,Unknown,Unknown,Mixed or unknown,Spain,Western Mediterranean,"Died in hospital after arrival at Cala Mochuela, Almeria, Spain","Murió en el hospital tras llegar a Cala Mochuela, Almería, España",Sí,Sí,En España,"37.301593, -1.711950186",37.301593, -1.711950186,Uncategorized,EuropaPress,https://archive.ph/ZTKwI,1
2025.MMP0156,2025.MMP0156,Incident,Mediterranean,2025-03-26,2025,2025,March,1,0,1,7,,1,,Morocco,Northern Africa,Drowning,Spain,Western Mediterranean,"Near Playa Cala de Enmedio near Cabo de Gata-Níjar, Alermia, Spain","Cerca de Playa Cala de Enmedio cerca de Cabo de Gata-Níjar, Alermia, España",Sí,Sí,En España,"36.74171219, -2.121299896",36.74171219, -2.121299896,Uncategorized,"NadorCity, Europa Press, Diario de Almeria",https://perma.cc/4EAC-AFB6,3
2025.MMP0162,"2025.MMP0162191,2025.MMP0162","Incident,Split Incident",Mediterranean,2025-03-24,2025,2025,March,5,0,5,,,1,,"Pakistan,Unknown","Southern Asia,Unknown",Drowning,Libya,"Central Mediterranean,Western Mediterranean","Fell into sea as boat approached Los Muertos beach, Carboneras, Almeria, Spain,Off Harawah near Sirte, Libya","Cayó al mar cuando el barco se acercaba a la playa de Los Muertos, Carboneras, Almería, España, frente a Harawah cerca de Sirte, Libia.",No,Sí,Cerca de España o de camino,"36.95318545, -1.898219848",36.95318545, -1.898219848,Uncategorized,"EuropaPress,IOM Libya, Pakistan PM  Shehbaz Sharif","https://archive.ph/ZTKwI,https://perma.cc/96DT-CRRL","1,5"
2025.MMP0149,2025.MMP0149,Incident,Mediterranean,2025-03-23,2025,2025,March,1,0,1,,,1,,Unknown,Northern Africa,Drowning,Spain,Western Mediterranean,"Remains recovered off Bahía Sur in the Strait of Gibralter, 19.3 kilometers off the coast of Ceuta, Spain","Restos recuperados frente a Bahía Sur en el Estrecho de Gibraltar, a 19,3 kilómetros de la costa de Ceuta, España.",Sí,Sí,En España,"36.1084093, -5.404323017",36.1084093, -5.404323017,Uncategorized,"Telecinco, El Confidencial, Infobae, Hespress",https://archive.ph/rZVkH,3
2025.MMP0143,2025.MMP0143,Incident,Mediterranean,2025-03-19,2025,2025,March,1,0,1,,,1,,Morocco,Northern Africa,Drowning,Spain,Western Mediterranean,"Remains recovered near Playa Juan XXIII, Ceuta, Spain","Restos recuperados cerca de Playa Juan XXIII, Ceuta, España",Sí,Sí,En España,"35.895825, -5.334495",35.895825, -5.334495,Uncategorized,"Francisco Jose Clemente Martin Facebook, El Faro de Ceuta, La Verdad Ceuta, RTVCE",https://perma.cc/LY2U-ZJFK,4
2025.MMP0141,2025.MMP0141,Incident,Mediterranean,2025-03-17,2025,2025,March,1,0,1,,,1,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"Remains washed ashore near Cala Mesquida, Capdepera, Mallorca, Balearic Islands, Spain","Restos arrastrados a la costa cerca de Cala Mesquida, Capdepera, Mallorca, Islas Baleares, España",Sí,Sí,En España,"39.744782, 3.432715",39.744782, 3.432715,Uncategorized,"La Razon, Noudiari",https://perma.cc/F6ZH-DF9J,3
2025.MMP0140,2025.MMP0140,Incident,Mediterranean,2025-03-17,2025,2025,March,1,0,1,,,,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"Remains washed ashore near Balneario 14, Playa s'Arenal, Palma, Mallorca, Balearic Islands, Spain","Restos arrastrados a la orilla cerca del Balneario 14, Playa s'Arenal, Palma, Mallorca, Islas Baleares, España",Sí,Sí,En España,"39.530039, 2.728202",39.530039, 2.728202,Uncategorized,"Majorca Daily Bulletin, Ultima Hora, La Razon",https://perma.cc/RC63-WZFT,3
2025.MMP0131,2025.MMP0131,Incident,Mediterranean,2025-03-14,2025,2025,March,1,0,1,,1,,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"One nautical mile from the Port of Can Pastilla, Palma, Mallorca, Balearic Islands, Spain","A una milla náutica del Puerto de Can Pastilla, Palma, Mallorca, Islas Baleares, España",Sí,Sí,En España,"39.512551, 2.689546",39.512551, 2.689546,Uncategorized,"Europa Press, Ultima Hora",https://perma.cc/PL9J-6KM6,3
2025.MMP0132,2025.MMP0132,Incident,Mediterranean,2025-03-13,2025,2025,March,,1,1,4,,1,,Morocco,Northern Africa,Drowning,Spain,Western Mediterranean,"Off the coast of Benzu, Ceuta, Spain","Frente a la costa de Benzu, Ceuta, España",Sí,Sí,En España,"35.91703, -5.37476",35.91703, -5.37476,Uncategorized,"Infobae, El Faro de Ceuta, Al-Badil",https://perma.cc/7D5F-2R2V,3
2025.MMP0117,2025.MMP0117,Incident,Mediterranean,2025-03-08,2025,2025,March,1,0,1,,,1,,Unknown,Northern Africa (P),Mixed or unknown,Spain,Western Mediterranean,"Remains found washed up to Cala Deià, la Serra de Tramuntana, Mallorca, Spain","Restos encontrados arrastrados hasta Cala Deià, la Serra de Tramuntana, Mallorca, España",Sí,Sí,En España,"39.76038204, 2.641003861",39.76038204, 2.641003861,Uncategorized,"La Vanguardia, EFE, Ultima Hora",https://archive.ph/Tky4s,3
2025.MMP0111,2025.MMP0111,Incident,Mediterranean,2025-03-06,2025,2025,March,1,0,1,,,,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"Remains found at Parc Natural de ses Salines, Llevant beach, Formentera, Balearic Islands, Spain","Restos encontrados en el Parque Natural de Ses Salines, playa de Llevant, Formentera, Islas Baleares, España",Sí,Sí,En España,"38.86333061, 1.389772176",38.86333061, 1.389772176,Uncategorized,"Ultima Hora, Diario de Ibiza",https://perma.cc/E38S-2KHV,3
2025.MMP0144,2025.MMP0144,Incident,Mediterranean,2025-03-05,2025,2025,March,1,0,1,,,1,,Morocco,Northern Africa,Drowning,Spain,Western Mediterranean,"Remains recovered near La Caracola, Fuengirola, Málaga, Spain","Restos recuperados cerca de La Caracola, Fuengirola, Málaga, España",Sí,Sí,En España,"36.536659, -4.621558",36.536659, -4.621558,Uncategorized,"ABC de Malaga, Francisco Jose Clemente Martin Facebook",https://perma.cc/TRV2-RBD6,4
2025.MMP0110,2025.MMP0110,Incident,Mediterranean,2025-03-04,2025,2025,March,1,0,1,,,,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"Remains washed at Son Moll beach, Cala Ratjada, Capdepera, Balearic Islands, Spain","Restos arrastrados por el mar en la playa de Son Moll, Cala Ratjada, Capdepera, Islas Baleares, España",Sí,Sí,En España,"39.70573678, 3.45624056",39.70573678, 3.45624056,Uncategorized,"Majorca daily bulletin, Ultima Hora, Cronica balear",https://perma.cc/A2AL-5NHJ,3
2025.MMP0100,"2025.MMP0100117,2025.MMP0100118,2025.MMP0100119,2025.MMP0100120",Split Incident,Mediterranean,2025-03-01,2025,2025,March,2,2,4,10,,3,1,"Algeria,Morocco,Unknown",Northern Africa,Drowning,Morocco,Western Mediterranean,"1 KM off Southern Ceuta, Spain,Remains washed at Fnideq, Morocco,Undetermined location at the Tarajal border off Ceuta, Spain,Unspecified location on the sea crossing between Ceuta and Morocco","A 1 km del sur de Ceuta, España. Restos arrastrados por el agua hasta Fnideq, Marruecos. Ubicación indeterminada en la frontera de Tarajal, frente a Ceuta, España. Ubicación no especificada en el cruce marítimo entre Ceuta y Marruecos.",No,Sí,Cerca de España o de camino,"35.87080992, -5.333348689",35.87080992, -5.333348689,Uncategorized,"EFE via Infobae, Europa Sur, El Faro de Ceuta,El Faro de Ceuta,Post 24, Tanja News","https://archive.ph/c3ZPH,https://perma.cc/39T6-PE23,https://perma.cc/JP5L-PR7B","1,3"
2025.MMP0091,2025.MMP0091,Incident,Mediterranean,2025-02-23,2025,2025,February,,5,5,19,1,3,1,Somalia,Eastern Africa,Drowning,Spain,Western Mediterranean,"37 KM West Ibiza/Balearic Islands, Spain - departure from Aïn Taya, Algeria on 17 Feb","37 km Oeste Ibiza/Islas Baleares, España - salida desde Aïn Taya, Argelia el 17 de febrero",Sí,Sí,En España,"38.84160346, 1.907360009",38.84160346, 1.907360009,Uncategorized,"Francisco Jose Clemente Martin, Noudiari, Diario de Ibiza",https://archive.ph/Jwkdc,4
2025.MMP0071,2025.MMP0071,Incident,Mediterranean,2025-02-19,2025,2025,February,1,0,1,,,1,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"On the beach of Santo Tomás, Es Migjorn, Menorca, Spain","En la playa de Santo Tomás, Es Migjorn, Menorca, España",Sí,Sí,En España,"39.914519, 4.038914",39.914519, 4.038914,Uncategorized,"Ondacero, Menorca Info",https://perma.cc/33YD-LS5V,3
2025.MMP0082,2025.MMP0082,Incident,Mediterranean,2025-02-17,2025,2025,February,1,0,1,24,,,,Algeria,Northern Africa,Drowning,Spain,Western Mediterranean,"Playa del Rafal,  in the Cabo Cope and Puntas de Calnegre regional park, Aguilas, Murcia, Spain","Playa del Rafal, en el parque regional Cabo Cope y Puntas de Calnegre, Águilas, Murcia, España",Sí,Sí,En España,"37.45288, -1.481456",37.45288, -1.481456,Southern Europe,"Centro de Coordinación de Emergencias 112 Región de Murcia, Francisco Clemente Jose Martin, EFE, RTVE",https://perma.cc/7TN9-GMWJ,5
2025.MMP0093,2025.MMP0093,Incident,Mediterranean,2025-02-15,2025,2025,February,,3,3,7,,,,Algeria,Northern Africa,Drowning,Spain,Western Mediterranean,"50 KM off Cartagena, Spain - departure from Mostaganem, Algeria","A 50 km de Cartagena, España - salida desde Mostaganem, Argelia",Sí,Sí,En España,"37.18261996, -0.785772594",37.18261996, -0.785772594,Uncategorized,Francisco Jose Clemente Martin,https://archive.ph/4S3Sr,4
2025.MMP0076,2025.MMP0076,Incident,Northern Africa,2025-02-11,2025,2025,February,1,2,3,77,12,,13,Unknown,Sub-Saharan Africa (P),Drowning,Spain,Western Africa / Atlantic route to the Canary Islands,"12 miles south of La Restinga, El Hierro, Santa Cruz de Tenerife, Canary Islands, Spain","12 millas al sur de La Restinga, El Hierro, Santa Cruz de Tenerife, Islas Canarias, España",Sí,Sí,En España,"27.480557, -17.968847",27.480557, -17.968847,Uncategorized,"112 Canarias, El Mundo, El Diario, InfoMigrants",https://perma.cc/939Y-M5VV,5
2025.MMP0067,2025.MMP0067,Incident,Mediterranean,2025-02-07,2025,2025,February,1,0,1,,,1,,Unknown,Northern Africa,Drowning,Spain,Western Mediterranean,"Near Laja de la Sirena, Monte Hacho, Ceuta, Spain","Cerca de Laja de la Sirena, Monte Hacho, Ceuta, España",Sí,Sí,En España,"35.901273, -5.279748",35.901273, -5.279748,Uncategorized,"El Confidencial, RTVCE",https://perma.cc/9C85-RB4G,3
2025.MMP0092,2025.MMP0092,Incident,Europe,2025-02-05,2025,2025,February,1,0,1,,,1,,Algeria,Northern Africa,Accidental death,Spain,,"On the national highway, Vera, Almería, Spain","En la carretera nacional, Vera, Almería, España",Sí,Sí,En España,"37.24786561, -1.872580903",37.24786561, -1.872580903,Southern Europe,Francisco Jose Clemente Martin,https://archive.ph/DuTY9,4
2025.MMP0057,2025.MMP0057,Incident,Mediterranean,2025-02-04,2025,2025,February,1,0,1,,,1,,Algeria,Northern Africa,Drowning,Spain,Western Mediterranean,"Remains washed ashore at Playa de la Elmadraba, Ceuta, Spain","Restos arrastrados a la playa de la Elmadraba, Ceuta, España",Sí,Sí,En España,"35.87985707, -5.334299876",35.87985707, -5.334299876,Uncategorized,"EFE via Telecinco, La Vanguardia, InfoMigrants",https://perma.cc/Y5H8-ZC4K,3
2025.MMP0068,2025.MMP0068,Incident,Mediterranean,2025-02-03,2025,2025,February,1,0,1,,,1,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"Platja de S'Alga, Formentera, Isla de Espalmador, Islas Baleares, Spain","Platja de S'Alga, Formentera, Isla de Espalmador, Islas Baleares, España",Sí,Sí,En España,"38.780684, 1.428699",38.780684, 1.428699,Uncategorized,"Telecinco, InfoBae",https://perma.cc/UP87-WPR3,3
