NOMBRE_ACTUAL,CAPITAL,LONGITUD_ETRS89,LATITUD_ETRS89
Alegría-Dulantzi,Alegría-Dulantzi,-2.51243731,42.83981158
Amurrio,Amurrio,-3.00007326,43.05427776
Aramaio,Ibarra,-2.56540037,43.05119653
Artziniega,Artziniega,-3.12791718,43.12084358
Armiñón,Armiñón,-2.87183475,42.72326199
Arratzua-Ubarrundia,Durana,-2.63878816,42.89116171
Asparrena,Araia,-2.31670754,42.88968768
Ayala/Aiara,Arespalditza/Respaldiza,-3.04306746,43.07768283
Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,-2.67863583,42.52925602
Barrundia,Ozaeta,-2.49407452,42.91537538
Berantevilla,Berantevilla,-2.85971414,42.68227191
Bernedo,Bernedo,-2.49825439,42.62676989
Campezo/Kanpezu,Santa Cruz de Campezo/Santikurutze Kanpezu,-2.35207693,42.66971209
Zigoitia,Gopegi,-2.73033002,42.96210609
Kripan,Kripan,-2.51621636,42.59082439
Kuartango,Zuhatzu Kuartango,-2.88438243,42.87006411
Elburgo/Burgelu,Elburgo/Burgelu,-2.545933,42.850282
Elciego,Elciego,-2.61723872,42.51420738
Elvillar/Bilar,Elvillar/Bilar,-2.54441267,42.56842577
Iruraiz-Gauna,Azilu,-2.475996232,42.83131017
Labastida/Bastida,Labastida/Bastida,-2.793199,42.590217
Lagrán,Lagran,-2.58423377,42.62621464
Laguardia,Laguardia/Biasteri,-2.58411693,42.55236655
Lanciego/Lantziego,Lanciego/Lantziego,-2.51278162,42.5624416
Lapuebla de Labarca,Lapuebla de Labarca,-2.57209001,42.49441468
Leza,Leza,-2.63459428,42.56469687
Laudio/Llodio,Laudio/Llodio,-2.96256495,43.1425188
Arraia-Maeztu,Maeztu/Maestu,-2.444299,42.738527
Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,-2.40841718,42.52479167
Navaridas,Navaridas,-2.62479544,42.5450594
Okondo,Eskauriatza,-3.019026823,43.1615513
Oyón-Oion,Oion,-2.436788,42.506067
Peñacerrada-Urizaharra,Peñacerrada/Urizaharra,-2.71402821,42.64417512
Erriberagoitia/Ribera Alta,Pobes,-2.91080642,42.80074682
Ribera Baja/Erriberabeitia,Ribabellosa,-2.91704002,42.71339792
Añana,Salinas de Añana/Gesaltza Añana,-2.98601634,42.8012318
Agurain/Salvatierra,Agurain/Salvatierra,-2.389753,42.850452
Samaniego,Samaniego,-2.67904862,42.56735197
San Millán/Donemiliaga,Ordoñana/Erdoñana,-2.37748902,42.87382571
Urkabustaiz,Izarra,-2.90661046,42.95304046
Valdegovía/Gaubea,Villanueva de Valdegovía,-3.09884417,42.84756896
Harana/Valle de Arana,Alda,-2.33104687,42.75289194
Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,-2.66452938,42.54857804
Legutio,Legutio,-2.64255929,42.9798744
Vitoria-Gasteiz,Vitoria-Gasteiz,-2.67275685,42.85058789
Yécora/Iekora,Yécora/Iekora,-2.4700849,42.56923117
Zalduondo,Zalduondo,-2.34650825,42.88580971
Zambrana,Zambrana,-2.87806502,42.66112968
Zuia,Murgia,-2.81862854,42.95597763
Iruña Oka/Iruña de Oca,Nanclares de la Oca/Langraiz Oka,-2.8147543,42.81819126
Lantarón,Comunión/Komunioi,-2.96649719,42.71657557
Abengibre,Abengibre,-1.54384487,39.2100078
Alatoz,Alatoz,-1.36097604,39.09494843
Albacete,Albacete,-1.85574745,38.99588053
Albatana,Albatana,-1.52275248,38.5708754
Alborea,Alborea,-1.39670449,39.27835442
Alcadozo,Alcadozo,-1.9802275,38.6489758
Alcalá del Júcar,Alcalá del Júcar,-1.42932697,39.1932018
Alcaraz,Alcaraz,-2.49034957,38.66425104
Almansa,Almansa,-1.09414681,38.86968811
Alpera,Alpera,-1.23080245,38.95969094
Ayna,Ayna,-2.07053831,38.55217746
Balazote,Balazote,-2.15096732,38.88396156
Balsa de Ves,Balsa de Ves,-1.19650012,39.26461253
El Ballestero,El Ballestero,-2.45508633,38.84252196
Barrax,Barrax,-2.20045637,39.0456106
Bienservida,Bienservida,-2.61184243,38.51602097
Bogarra,Bogarra,-2.21253636,38.58025427
Bonete,Bonete,-1.34830324,38.86950589
El Bonillo,El Bonillo,-2.54023691,38.95012362
Carcelén,Carcelén,-1.30876708,39.10231176
Casas de Juan Núñez,Casas de Juan Núñez,-1.55799035,39.10160749
Casas de Lázaro,Casas de Lázaro,-2.23922378,38.7705758
Casas de Ves,Casas de Ves,-1.33454992,39.25946122
Casas-Ibáñez,Casas-Ibáñez,-1.47129143,39.28701686
Caudete,Caudete,-0.9886912,38.70573009
Cenizate,Cenizate,-1.66113349,39.30332101
Corral-Rubio,Corral-Rubio,-1.4608525,38.83500072
Cotillas,Cotillas,-2.50574545,38.43135915
Chinchilla de Monte-Aragón,Chinchilla de Monte-Aragón,-1.72602643,38.9210968
Elche de la Sierra,Elche de la Sierra,-2.04781376,38.44790893
Férez,Férez,-2.00953934,38.35567013
Fuensanta,Fuensanta,-2.06725219,39.24466001
Fuente-Álamo,Fuente-Álamo,-1.43170411,38.69314229
Fuentealbilla,Fuentealbilla,-1.54879364,39.26773579
La Gineta,La Gineta,-1.99784496,39.11387916
Golosalvo,Golosalvo,-1.63626863,39.23996013
Hellín,Hellín,-1.70344921,38.51218953
La Herrera,La Herrera,-2.12637236,38.9621774
Higueruela,Higueruela,-1.44535609,38.96455026
Hoya-Gonzalo,Hoya-Gonzalo,-1.55687053,38.95787352
Jorquera,Jorquera,-1.52061391,39.17457441
Letur,Letur,-2.10096881,38.36632081
Lezuza,Lezuza,-2.35387427,38.94878996
Liétor,Liétor,-1.95479319,38.54083745
Madrigueras,Madrigueras,-1.7997012,39.23680339
Mahora,Mahora,-1.72481837,39.21303088
Masegoso,Masegoso,-2.31511768,38.71877813
Minaya,Minaya,-2.31961973,39.27118701
Molinicos,Molinicos,-2.23898151,38.46778179
Montalvos,Montalvos,-2.02769341,39.16721439
Montealegre del Castillo,Montealegre del Castillo,-1.32487672,38.78717469
Motilleja,Motilleja,-1.79025762,39.17948885
Munera,Munera,-2.4830388,39.03954575
Navas de Jorquera,Navas de Jorquera,-1.7189485,39.28099513
Nerpio,Nerpio,-2.30224029,38.14824043
Ontur,Ontur,-1.49888166,38.61472661
Ossa de Montiel,Ossa de Montiel,-2.74272664,38.96201035
Paterna del Madera,Paterna del Madera,-2.34555766,38.59729435
Peñascosa,Peñascosa,-2.41040499,38.67153536
Peñas de San Pedro,Peñas de San Pedro,-2.00212787,38.72688881
Pétrola,Pétrola,-1.55549981,38.82629814
Povedilla,Povedilla,-2.60393627,38.70163971
Pozohondo,Pozohondo,-1.91133356,38.721122
Pozo-Lorente,Pozo-Lorente,-1.50647855,39.07663024
Pozuelo,Pozuelo,-2.10117384,38.80969625
La Recueja,La Recueja,-1.48988779,39.17688319
Riópar,Riópar,-2.41839311,38.4998099
Robledo,Robledo,-2.44882682,38.75778452
La Roda,La Roda,-2.15924796,39.20706504
Salobre,Salobre,-2.55057256,38.59195258
San Pedro,San Pedro,-2.186211,38.82654004
Socovos,Socovos,-1.98469065,38.33202632
Tarazona de la Mancha,Tarazona de la Mancha,-1.91280979,39.26539647
Tobarra,Tobarra,-1.69282296,38.5922733
Valdeganga,Valdeganga,-1.67646922,39.13545152
Vianos,Vianos,-2.50149079,38.632307
Villa de Ves,Villa de Ves,-1.25897631,39.22231541
Villalgordo del Júcar,Villalgordo del Júcar,-2.06309183,39.29598679
Villamalea,Villamalea,-1.59908353,39.36160785
Villapalacios,Villapalacios,-2.63505947,38.57467359
Villarrobledo,Villarrobledo,-2.60714311,39.26755792
Villatoya,Villatoya,-1.33858599,39.33385264
Villavaliente,Villavaliente,-1.45799642,39.12645758
Villaverde de Guadalimar,Villaverde de Guadalimar,-2.518480636,38.456169
Viveros,Viveros,-2.57590915,38.77363475
Yeste,Yeste,-2.31896,38.3668
Pozo Cañada,Pozo Cañada,-1.73622317,38.801361
l'Atzúbia,l'Atzúbia,-0.15173035,38.84743029
Agost,Agost,-0.63891979,38.43949316
Agres,Agres,-0.51595543,38.78000404
Aigües,Aigües,-0.36258669,38.49887092
Albatera,Albatera,-0.86792141,38.17894636
Alcalalí,Alcalalí,-0.04160798,38.74965349
Alcosser,Alcosser,-0.40197036,38.79447224
Alcoleja,Alcoleja,-0.33100925,38.67548564
Alcoi/Alcoy,Alcoi/Alcoy,-0.473163128,38.69764173
Alfafara,Alfafara,-0.55552339,38.77274828
l'Alfàs del Pi,l'Alfàs del Pi,-0.1026002,38.58009496
Algorfa,Algorfa,-0.79568423,38.08681637
Algueña,Algueña,-1.00303745,38.33800138
Alacant/Alicante,Alacant/Alicante,-0.4831832,38.34548705
Almoradí,Almoradí,-0.79201713,38.10977991
Almudaina,Almudaina,-0.35370678,38.76155764
l'Alqueria d'Asnar,l'Alqueria d'Asnar,-0.42552267,38.77311802
Altea,Altea,-0.05144236,38.59892497
Aspe,Aspe,-0.76849107,38.34577266
Balones,Balones,-0.34237388,38.73701039
Banyeres de Mariola,Banyeres de Mariola,-0.65685684,38.71635902
Benasau,Benasau,-0.34261264,38.68991329
Beneixama,Beneixama,-0.76676743,38.70018533
Benejúzar,Benejúzar,-0.83819517,38.07806375
