Orden,Nombre,Frecuencia,Edad Media (*),sexo
20823,ACRACIA,30 ,"86,6",Mujer
23054,FRATERNIDAD,27 ,"86,1",Mujer
15894,CRESCENCIANA,41 ,"83,2",Mujer
10055,LUPICINIA,70 ,"83,0",Mujer
4423,EUTIQUIA,196 ,"82,3",Mujer
20190,VIRTUOSA,32 ,"82,2",Mujer
9539,SANDALIA,75 ,"82,0",Mujer
6260,EUSTASIA,126 ,"81,9",Mujer
28.103,PROCOPIA,22 ,"81,9",Mujer
29.924,DOMINA,20 ,"81,8",Mujer
27.571,EUTILIA,22 ,"81,7",Mujer
19482,MAUDILIA,33 ,"81,4",Mujer
10224,TEODULA,69 ,"81,3",Mujer
17205,POLICARPA,38 ,"81,3",Mujer
13828,FLORIPES,48 ,"81,2",Mujer
28.717,ERMESINDA,21 ,"81,2",Mujer
28.099,PLAUTILA,22 ,"81,0",Mujer
23763,DONACIANA,26 ,"80,8",Mujer
12416,BASILIDES,54 ,"80,7",Mujer
3637,CIRIACA,252 ,"80,5",Mujer
14055,DATIVA,47 ,"80,5",Mujer
30.579,NICETA,20 ,"80,4",Mujer
12458,EVENCIA,54 ,"80,3",Mujer
21771,LADISLADA,29 ,"80,3",Mujer
30.107,ILUMINACION,20 ,"80,3",Mujer
18381,HERMOGENES,35 ,"80,2",Mujer
24.606,DOROTHY MAY,25 ,"80,1",Mujer
27.495,DIOSDADA,22 ,"80,1",Mujer
19805,EDMUNDA,32 ,"80,0",Mujer
17787,BELISARIA,36 ,"79,9",Mujer
6974,ABUNDIA,109 ,"79,8",Mujer
30.578,NICEFORA,20 ,"79,6",Mujer
7899,TIBURCIA,95 ,"79,5",Mujer
19618,SYLVIA ANN,33 ,"79,5",Mujer
19746,BRUNHILDE,32 ,"79,5",Mujer
22859,ANTERA,27 ,"79,5",Mujer
25.396,BARTOLOMEA,24 ,"79,4",Mujer
26.471,ERESVITA,23 ,"79,4",Mujer
16876,VENERABLE,39 ,"79,3",Mujer
26.817,MARIA MATUTINA,23 ,"79,3",Mujer
22210,FRUMENCIO,28 ,"79,2",Hombres
4204,CELERINA,209 ,"79,1",Mujer
8313,ONESIMA,89 ,"79,1",Mujer
29.665,ALCIDES,20 ,"79,1",Mujer
28.740,EVILASIA,21 ,"79,0",Mujer
30.698,SABINIANA,20 ,"79,0",Mujer
12886,DIODORA,52 ,"78,9",Mujer
13346,FROILANA,50 ,"78,9",Mujer
14605,ANUNCIACIO,45 ,"78,9",Mujer
8202,DONINA,90 ,"78,8",Mujer
9439,SALUDINA,76 ,"78,7",Mujer
6655,SATURIA,117 ,"78,6",Mujer
25.957,NONITA,24 ,"78,6",Mujer
28.591,COLUMBIANA,21 ,"78,6",Mujer
2002,AGAPITA,599 ,"78,5",Mujer
3884,ORENCIA,230 ,"78,5",Mujer
25.974,OROFILA,24 ,"78,5",Mujer
4692,EUTIMIA,180 ,"78,4",Mujer
14082,EXUPERANCIA,47 ,"78,4",Mujer
4626,SANTAS,184 ,"78,3",Mujer
24.222,PIADOSA,26 ,"78,3",Mujer
5351,ADONINA,152 ,"78,2",Mujer
25.998,QUINTILIANA,24 ,"78,2",Mujer
22571,VALERICO,28 ,"78,1",Hombres
15977,JOAN MARGARET,41 ,"78,1",Mujer
20769,TERENCIA,31 ,"78,1",Mujer
23254,MARIA JESUS JOSEFA,27 ,"78,1",Mujer
23899,ISACIA,26 ,"78,1",Mujer
9919,ELFRIEDE,71 ,"78,0",Mujer
16972,CILINIA,38 ,"78,0",Mujer
21956,PETRA JOSEFA,29 ,"78,0",Mujer
3327,ARGIMIRA,285 ,"77,9",Mujer
3787,FRUCTUOSA,238 ,"77,9",Mujer
7829,ARSELINA,95 ,"77,9",Mujer
8566,UBALDA,86 ,"77,9",Mujer
4896,DONATILA,171 ,"77,8",Mujer
9380,FABRICIANA,76 ,"77,8",Mujer
17655,REGULA,37 ,"77,8",Mujer
24.045,MARGARET JOAN,26 ,"77,8",Mujer
27.554,ESCELITA,22 ,"77,8",Mujer
5299,TIMOTEA,155 ,"77,7",Mujer
13714,SOLEMNIDAD,49 ,"77,7",Mujer
14244,URSICINA,47 ,"77,7",Mujer
19326,HONORINDA,33 ,"77,7",Mujer
20080,ORENTINA,32 ,"77,7",Mujer
1376,CESAREA,1.122 ,"77,6",Mujer
2245,BELARMINA,497 ,"77,6",Mujer
3071,ABILIA,318 ,"77,6",Mujer
3274,LUCINIA,293 ,"77,6",Mujer
5309,EMETERIA,154 ,"77,6",Mujer
14250,VITORINA,47 ,"77,6",Mujer
18320,DORADIA,35 ,"77,6",Mujer
23238,MARCIONILA,27 ,"77,6",Mujer
3945,ATANASIA,225 ,"77,5",Mujer
4911,TEODOMIRA,171 ,"77,5",Mujer
5430,SERAPIA,150 ,"77,5",Mujer
5497,HERMESINDA,147 ,"77,5",Mujer
9707,JEAN MARGARET,73 ,"77,5",Mujer
19394,LEALDINA,33 ,"77,5",Mujer
21708,HERCULINA,29 ,"77,5",Mujer
25.493,DEDICACION,24 ,"77,5",Mujer
28.679,ELIBERTA,21 ,"77,5",Mujer
1690,LEONIDES,795 ,"77,4",Mujer
8632,PLACER,85 ,"77,4",Mujer
19045,PLACENTINA,34 ,"77,4",Mujer
27.480,DELIRIO,22 ,"77,4",Mujer
27.965,MAURILIA,22 ,"77,4",Mujer
1833,LAURENTINA,696 ,"77,3",Mujer
16843,RUFA,39 ,"77,3",Mujer
25.621,GLORIFICACION,24 ,"77,3",Mujer
1056,TEOFILA,1.672 ,"77,2",Mujer
1637,BONIFACIA,832 ,"77,2",Mujer
4875,GASPARA,172 ,"77,2",Mujer
5174,GAUDENCIA,159 ,"77,2",Mujer
7909,AURINA,94 ,"77,2",Mujer
8436,ESCLAVITUD,87 ,"77,2",Mujer
15425,QUIRINA,43 ,"77,2",Mujer
22007,SERVILIA,29 ,"77,2",Mujer
27.162,VICENCIA,23 ,"77,2",Mujer
28.589,CLODOMIRA,21 ,"77,2",Mujer
1825,FELICISIMA,701 ,"77,1",Mujer
2323,LEONISA,473 ,"77,1",Mujer
4455,MARCELIANA,194 ,"77,1",Mujer
4828,HONORIA,174 ,"77,1",Mujer
9755,ROBUSTIANA,73 ,"77,1",Mujer
19154,ADERITA,33 ,"77,1",Mujer
21707,HERACLIA,29 ,"77,1",Mujer
25.709,JUNE MARGARET,24 ,"77,1",Mujer
27.956,MARTINIANA,22 ,"77,1",Mujer
676,VICTORINA,3.049 ,"77,0",Mujer
2152,SECUNDINA,533 ,"77,0",Mujer
2408,ANUNCIA,452 ,"77,0",Mujer
8170,ROLINDES,91 ,"77,0",Mujer
12811,SHEILA MARY,53 ,"77,0",Mujer
13743,ZOSIMA,49 ,"77,0",Mujer
25.191,TEOTISTA,25 ,"77,0",Mujer
29.443,SELMIRA,21 ,"77,0",Mujer
4802,CONCESA,175 ,"76,9",Mujer
6877,SINFORIANA,112 ,"76,9",Mujer
7411,JENARA,102 ,"76,9",Mujer
7979,AUSENCIA,93 ,"76,9",Mujer
11941,MARTIRES,57 ,"76,9",Mujer
3010,EUDOSIA,330 ,"76,8",Mujer
4874,FELICITACION,172 ,"76,8",Mujer
6668,DOMICIANA,116 ,"76,8",Mujer
7851,INVENCION,95 ,"76,8",Mujer
8715,PLACIDIA,84 ,"76,8",Mujer
9642,PREDESTINACION,74 ,"76,8",Mujer
15386,MINERVINA,43 ,"76,8",Mujer
20275,ARTURA,31 ,"76,8",Mujer
23672,BRENDA ANN,26 ,"76,8",Mujer
25.802,LUPICINA,24 ,"76,8",Mujer
28.012,MONSERRATA,22 ,"76,8",Mujer
2593,PERFECTA,405 ,"76,7",Mujer
7832,BAUDILIA,95 ,"76,7",Mujer
9524,MAUREEN ANN,75 ,"76,7",Mujer
25.850,MARIA TERESA MERCEDES,24 ,"76,7",Mujer
1091,SEGUNDA,1.608 ,"76,6",Mujer
3485,EZEQUIELA,267 ,"76,6",Mujer
11910,LIBERTA,57 ,"76,6",Mujer
15586,EDESIA,42 ,"76,6",Mujer
19964,MARIA AMANDINA,32 ,"76,6",Mujer
24.602,DONVINA,25 ,"76,6",Mujer
28.469,ARCANGEL,21 ,"76,6",Mujer
29.152,MARIA SINDA,21 ,"76,6",Mujer
29.870,CONTEMPLACION,20 ,"76,6",Mujer
22718,BASILIDES,27 ,"76,5",Hombres
2648,PERPETUA,394 ,"76,5",Mujer
2723,NICASIA,377 ,"76,5",Mujer
6371,ADOSINDA,123 ,"76,5",Mujer
9382,GERTRUD,76 ,"76,5",Mujer
13495,WENCESLADA,50 ,"76,5",Mujer
16225,BARBARA JOAN,40 ,"76,5",Mujer
718,SATURNINA,2.804 ,"76,4",Mujer
3225,TELESFORA,299 ,"76,4",Mujer
5663,SOTERA,142 ,"76,4",Mujer
6685,RUDESINDA,116 ,"76,4",Mujer
8525,FILIBERTA,86 ,"76,4",Mujer
9547,VICTAR,75 ,"76,4",Mujer
11743,MARGRIT,58 ,"76,4",Mujer
17402,EDELTRAUD,37 ,"76,4",Mujer
20909,CAPITOLINA,30 ,"76,4",Mujer
24.217,PATRICIA JOAN,26 ,"76,4",Mujer
518,JESUSA,4.337 ,"76,3",Mujer
1973,LEONCIA,617 ,"76,3",Mujer
2040,TEODOSIA,575 ,"76,3",Mujer
2536,BALDOMERA,417 ,"76,3",Mujer
10574,NICOMEDES,66 ,"76,3",Mujer
11278,PASCASIA,61 ,"76,3",Mujer
13999,AMANDINA,47 ,"76,3",Mujer
20497,JUNE ANN,31 ,"76,3",Mujer
25.204,URSULA ELISABETH,25 ,"76,3",Mujer
28.498,BABILA,21 ,"76,3",Mujer
25170,HANS RUDOLF,24 ,"76,2",Hombres
27893,HANS GUNTER,21 ,"76,2",Hombres
1274,ERUNDINA,1.245 ,"76,2",Mujer
1832,JOAQUIMA,696 ,"76,2",Mujer
1909,HONORINA,649 ,"76,2",Mujer
13583,ESTANISLADA,49 ,"76,2",Mujer
26.404,DALMACIA,23 ,"76,2",Mujer
1560,HELIODORA,901 ,"76,1",Mujer
2314,HERMOSINDA,477 ,"76,1",Mujer
6853,GERVASIA,112 ,"76,1",Mujer
22826,AMADINA,27 ,"76,1",Mujer
26.067,SIRKKA LIISA,24 ,"76,1",Mujer
28.269,VALERIE MARGARET,22 ,"76,1",Mujer
29.770,ARMELINA,20 ,"76,1",Mujer
7655,LAUDINA,98 ,"76,0",Mujer
19831,EUSTOQUIA,32 ,"76,0",Mujer
23767,DULZURA,26 ,"76,0",Mujer
24.805,JULIA MARIA CARMEN,25 ,"76,0",Mujer
27.625,GERTRAUD,22 ,"76,0",Mujer
1280,CRESCENCIA,1.237 ,"75,9",Mujer
1658,DOSINDA,821 ,"75,9",Mujer
11227,IRMGARD,61 ,"75,9",Mujer
15253,EILEEN MARY,43 ,"75,9",Mujer
28.270,VALERIE MARY,22 ,"75,9",Mujer
30.231,LANDELINA,20 ,"75,9",Mujer
770,BASILISA,2.542 ,"75,8",Mujer
1682,NEMESIA,799 ,"75,8",Mujer
4954,RAMIRA,169 ,"75,8",Mujer
4983,DAMASA,167 ,"75,8",Mujer
