año,Andalucía,Murcia,Extremadura,Com. Valenciana,Madrid,Castilla La Mancha,Canarias,Baleares,Aragón,Castilla y León,La Rioja,País Vasco,Navarra,Galicia,Cantabria,Asturias,Cataluña,Ceuta,Melilla
2002,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,DAVID,IKER,JAVIER,PABLO,PABLO,PABLO,MARC,MOHAMED,MOHAMED
2003,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,DANIEL,PABLO,DAVID,IKER,JAVIER,PABLO,PABLO,PABLO,MARC,MOHAMED,MOHAMED
2004,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,MARC,DANIEL,PABLO,DAVID,IKER,,PABLO,PABLO,PABLO,MARC,MOHAMED,MOHAMED
2005,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,DANIEL,DANIEL,MARC,DANIEL,DANIEL,PABLO,IKER,JAVIER,PABLO,PABLO,PABLO,MARC,MOHAMED,MOHAMED
2006,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,DANIEL,ALEJANDRO,ALEJANDRO,MARC,DANIEL,DANIEL,DAVID,IKER,IKER,PABLO,PABLO,PABLO,MARC,MOHAMED,MOHAMED
2007,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,DANIEL,ALEJANDRO,DANIEL,MARC,DANIEL,DANIEL,MARCOS,IKER,IKER,PABLO,ADRIAN,DIEGO,MARC,MOHAMED,ADAM
2008,ALEJANDRO,ALEJANDRO,DANIEL,PABLO,DANIEL,DANIEL,ALEJANDRO,MARC,DIEGO,DANIEL,DANIEL,IKER,MIKEL,HUGO,DANIEL,PABLO,MARC,MOHAMED,MOHAMED
2009,ALEJANDRO,PABLO,ALEJANDRO,PABLO,DANIEL,DANIEL,DANIEL,MARC,DANIEL,DANIEL,DANIEL,IKER,IKER,HUGO,PABLO,PABLO,LUCIA,MOHAMED,MOHAMED
2010,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,DANIEL,ALEJANDRO,DANIEL,MARC,JORGE,PABLO,HUGO,MARKEL,ASIER,HUGO,HUGO,DANIEL,MARC,ADAM,MOHAMED
2011,ALEJANDRO,ALEJANDRO,DANIEL,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO,MARC,DIEGO,DANIEL,DANIEL,JON,JAVIER,HUGO,DANIEL,PABLO,MARC,MOHAMED,MOHAMED
2012,ALEJANDRO,ALEJANDRO,DANIEL,DANIEL,DANIEL,DANIEL,HUGO,MARC,DANIEL,DANIEL,DANIEL,MARKEL,IKER,HUGO,DANIEL,DANIEL,MARC,MOHAMED,MOHAMED
2013,PABLO,PABLO,DANIEL,HUGO,DANIEL,DANIEL,HUGO,MARC,HUGO,DANIEL,PABLO,MARKEL,AIMAR,HUGO,DANIEL,DANIEL,MARC,ADAM,MOHAMED
2014,ALEJANDRO,PABLO,DANIEL,HUGO,DANIEL,DANIEL,HUGO,MARC,DANIEL,DANIEL,MARIO,MARKEL,AIMAR,MARTIN,MARIO,MARTIN,MARC,MOHAMED,ADAM
2015,ALEJANDRO,PABLO,HUGO,HUGO,DANIEL,HUGO,HUGO,MARC,LUCIA,MARTIN,MARTIN,MARKEL,AIMAR,MARTIN,MARTIN,MARTIN,MARC,MOHAMED,ADAM
2016,MANUEL,HUGO,DANIEL,HUGO,DANIEL,DANIEL,HUGO,MARC,MARTIN,MARTIN,MARTIN,JON,MARTIN,MARTIN,MARTIN,MARTIN,MARC,MOHAMED,MOHAMED
2017,MANUEL,PABLO,DANIEL,LUCAS,LUCAS,LUCAS,HUGO,MARC,LUCAS,LUCAS,MARTIN,MARKEL,JULEN,MARTIN,MARTIN,MARTIN,MARC,MOHAMED,MOHAMED
2018,MANUEL,HUGO,MANUEL,LUCAS,MATEO,HUGO,LUCAS,MARC,MARTIN,MATEO,MATEO,MARKEL,,MATEO,MARTIN,MATEO,MARC,MOHAMED,ADAM
2019,MANUEL,PABLO,MANUEL,LUCAS,MATEO,LUCAS,MATEO,MARC,MARTIN,HUGO,MATEO,MARKEL,MARTIN,MATEO,MARTIN,MATEO,MARC,AMIR,MOHAMED
2020,MANUEL,HUGO,MANUEL,MATEO,MATEO,MATEO,MATEO,MARC,MATEO,MARTIN,MARTIN,MARKEL,JULEN,MATEO,MARTIN,MATEO,MARC,AMIR,MOHAMED
2021,MANUEL,HUGO,MANUEL,MARTIN,MATEO,MARTIN,MATEO,MARC,MARTIN,MARTIN,MARTIN,MARKEL,MARTIN,MATEO,MATEO,MARTIN,MARC,MOHAMED,AMIR
2022,MANUEL,HUGO,MANUEL,MATEO,MATEO,HUGO,MATEO,MARC,MARTIN,MARTIN,MATEO,MARTIN,MATEO,MARTIN,MARTIN,MARTIN,LEO,MOHAMED,MOHAMED
2023,MANUEL,PABLO,MANUEL,MATEO,MATEO,HUGO,MATEO,MARC,HUGO,MATEO,MARTIN,OIHAN,AIMAR,MATEO,MATEO,MARTIN,JAN,MOHAMED,IBRAHIM
